job Name,Title,Company,Occupation,Specs,Link
machine learning,Cloud Solution Architect - Azure AI and Machine Learning,Microsoft,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Computer Engineering', 'Software Engineering', 'Software Development', 'Cloud']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Mp7zvWj4kcoc-Cloud-Solution-Architect---Azure-AI-and-Machine-Learning-Microsoft-Dubai-United-Arab-Emirates
machine learning,Machine Learning Engineer,Block Gemini,Full Time,"['Full TimeExperienced', '5 - 12 Yrs of Exp', 'IT/Software Development', 'AI', 'Machine Learning', 'NLP', 'Natural Language Processing (NLP)', 'Python', 'TensorFlow', '""R""']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/dFX9BgcnLm4C-Machine-Learning-Engineer-Block-Gemini-Cairo-Egypt
machine learning,Senior Machine Learning Engineer,Convertedin,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Python', 'Computer Science', 'Information Technology (IT)', 'Machine Learning', 'Software Engineering', 'C++', 'Mathematics']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/88d2c9JQvKyC-Senior-Machine-Learning-Engineer-Convertedin-Aggregated-Cairo-Egypt
machine learning,Machine Learning Software Engineer,DigiSay,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Machine Learning', 'Computer Science', 'Information Technology (IT)', 'Software Engineering', 'Python', 'Computer Engineering', 'Software Development']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uOo7surO9Scf-Machine-Learning-Software-Engineer-DigiSay-Aggregated-Cairo-Egypt
machine learning,Machine Learning Engineer,Blackstone eIT,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Machine Learning', 'Computer Science', 'Information Technology (IT)', 'Python', 'Software Engineering', 'Computer Engineering', 'Engineering']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2TYSpFUXlRTe-Machine-Learning-Engineer-Blackstone-eIT-Aggregated-Dubai-United-Arab-Emirates
machine learning,Machine Learning Engineer,Convertedin,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Machine Learning', 'Computer Science', 'Information Technology (IT)', 'Python', 'Software Engineering', 'Computer Engineering', 'Engineering']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7ZNfO2FtHE3h-Machine-Learning-Engineer-Convertedin-Aggregated-Cairo-Egypt
machine learning,Machine Learning Researcher,RDI,Full Time,"['Full TimeEntry Level', '0 - 3 Yrs of Exp', 'R&D/Science', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Machine Learning', 'Deep Learning', 'Python', 'TensorFlow', 'Computer Engineering', 'Computer Science', 'Flask']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/GeNMHwjBsatD-Machine-Learning-Researcher-RDI-Giza-Egypt
machine learning,Manager Learning Data Analytics and AI,MAJID AL FUTTAIM,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Marketing/PR/Advertising', 'Engineering - Telecom/Technology', 'information technology (it)', 'marketing', 'computer science', 'social media', 'management', 'analysis', 'science']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/FU9JD6pkuq2t-Manager-Learning-Data-Analytics-and-AI-MAJID-AL-FUTTAIM-Dubai-United-Arab-Emirates
machine learning,"Learning & Development Coordinator Human Resources · JA The Resort, Dubai",JA Resorts & Hotels,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Education/Teaching', 'Education', 'Learning', 'Training', 'Information Technology (IT)', 'Computer Science', 'Teaching', 'E-Learning']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/0IW3c6tOvc7x-Learning-Development-Coordinator-Human-Resources-·-JA-The-Resort-Dubai-JA-Resorts-Hotels-Dubai-United-Arab-Emirates
machine learning,Learning & Development Tower Lead | MAF Global Solutions,MAJID AL FUTTAIM,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Education/Teaching', 'Education', 'Learning', 'Training', 'Information Technology (IT)', 'Computer Science', 'Teaching', 'E-Learning']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/NpQnVWmZiIK0-Learning-Development-Tower-Lead-MAF-Global-Solutions-MAJID-AL-FUTTAIM-Cairo-Egypt
machine learning,Senior Learning & Development Manager | MAF Global Solutions | HC,MAJID AL FUTTAIM,Full Time,"['Full TimeNot specified', 'IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Python', 'Information Technology (IT)', 'Software Engineering', 'Computer Science', 'Machine Learning', 'C++', 'NLP']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gI3mgENjGikb-Senior-Learning-Development-Manager-MAF-Global-Solutions-HC-MAJID-AL-FUTTAIM-Cairo-Egypt
machine learning,Senior Backend Developer with Machine Learning,Simply nikah,Full TimeWork From Home,"['Full TimeWork From HomeExperienced', '3+ Yrs of Exp', 'IT/Software Development', 'backend', 'nestjs', 'Machine Learning', 'ai', 'google vertex']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/T98ubaqQlYqP-Senior-Backend-Developer-with-Machine-Learning-Simply-nikah-Cairo-Egypt
machine learning,Research Engineer,Ewa ,Full Time,"['Full TimeSenior Management', '5 - 9 Yrs of Exp', 'R&D/Science', 'Data Engineering', 'Artificial Intelligence (AI)', 'Machine Learning']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/IA7nOtQ6Ib9p-Research-Engineer-Ewa-Cairo-Egypt
